County/Court	court location website	court hours webpage	court Rules (local) webpage	court Fees webpage	court Judges webpage	court department directory webpage	Court Holidays	case types filed at location	notes				case type abbrev. = 	case type
Corcoran	http://www.kings.courts.ca.gov/locations/Corcoran_Courthouse.asp	http://www.kings.courts.ca.gov/locations/Corcoran_Courthouse.asp	http://www.kings.courts.ca.gov/localrules/localrules.asp	http://www.kings.courts.ca.gov/feesforms/feesforms.asp	http://www.kings.courts.ca.gov/Courtmain.asp	none		AP, CR, CV, FL, JV, SC, TR						
Lake County	http://www.lake.courts.ca.gov/gi/lakeport.htm	http://www.lake.courts.ca.gov/gi/lakeport.htm	http://www.lake.courts.ca.gov/ff/index.htm	http://www.lake.courts.ca.gov/ff/index.htm	http://www.lake.courts.ca.gov/index.htm	http://www.lake.courts.ca.gov/gi/courtrooms_holidays.htm		CH, CV, CR, FL, JV, PR	PDF provided for court rules and fees.					
Clearlake	http://www.lake.courts.ca.gov/gi/clearlake.htm	http://www.lake.courts.ca.gov/gi/clearlake.htm	http://www.lake.courts.ca.gov/ff/index.htm	http://www.lake.courts.ca.gov/ff/index.htm	http://www.lake.courts.ca.gov/index.htm	http://www.lake.courts.ca.gov/gi/courtrooms_holidays.htm		IN, SC, TR, UD						
Lassen County	http://www.lassencourt.ca.gov/index.shtml	http://www.lassencourt.ca.gov/index.shtml	http://www.lassencourt.ca.gov/general_info/localrules.shtml	http://www.lassencourt.ca.gov/forms_and_filing/fee.shtml	http://www.lassencourt.ca.gov/index.shtml	none		CV, CR, FL, JV, TR						
LA County	http://www.lacourt.org/courthouse/info/lax	http://www.lacourt.org/courthouse/info/lax	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/judicialofficers/ui/SearchResult.aspx	http://www.lacourt.org/courthouse		CR						
Alhambra	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/alh	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/alh	http://www.lacourt.org/courthouse		CR, SC						
Bellflower	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/lc	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/lc	http://www.lacourt.org/courthouse		CR, TR						
Beverely Hills	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/bh	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/bh	http://www.lacourt.org/courthouse		TR						
Burbank	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/bur	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/bur	http://www.lacourt.org/courthouse		CV, CR, TR						
Catalina	http://www.lacourt.org/courthouse	http://www.lacourt.org/courthouse/info/cat	http://www.lacourt.org/courtrules/ui/index.aspx?tab=2	http://www.lacourt.org/forms/Fees	http://www.lacourt.org/courthouse/judicialofficers/cat	http://www.lacourt.org/courthouse		CR						
